Apple Wallet	钱包卡片
Passcode (.passthm)	密码键盘主题
Apply .passthm	应用主题包
Theme Creator	主题制作
Poster Slice (Puzzle)	海报拼图
Individual Keys	逐键设置
All Languages (Universal)	所有语言（通用）
Ukrainian (uk)	乌克兰语（uk）
Russian (ru)	俄语（ru）
English (en)	英语（en）
Other / Fallback	其他语言／兼容模式
Spanish (es)	西班牙语（es）
German (de)	德语（de）
French (fr)	法语（fr）
Polish (pl)	波兰语（pl）
Italian (it)	意大利语（it）
Portuguese (pt)	葡萄牙语（pt）
Turkish (tr)	土耳其语（tr）
Japanese (ja)	日语（ja）
Korean (ko)	韩语（ko）
Chinese (zh)	中文（zh）
Arabic (ar)	阿拉伯语（ar）
Hebrew (he)	希伯来语（he）
Universal (Regular + Bold)	常规与粗体（通用）
Bold Text Only (Fast)	仅粗体（快速）
Regular Font Only (Fast)	仅常规字重（快速）
Failed to create .passthm zip archive (exit code \(process.terminationStatus))	无法生成 .passthm 主题包（退出代码：\(process.terminationStatus)）
Failed to stage temporary theme: \(error)	无法准备临时主题：\(error)
Ready	准备就绪
Loaded \(cards.count) real card(s) from storage.	已从本地记录读取 \(cards.count) 张卡片。
Added card: \(clean)	已添加卡片：\(clean)
Removed card: \(id)	已移除卡片：\(id)
Cleared all cards.	已清空卡片列表。
Assigned custom skin to card: \(cardId.prefix(12))...	已为卡片 \(cardId.prefix(12))… 设置卡面。
Cleared custom skin for: \(cardId.prefix(12))...	已移除卡片 \(cardId.prefix(12))… 的自定义卡面。
Checking connected devices...	正在检查已连接的设备…
Connected to \(dev.name ?? "iPhone")	已连接 \(dev.name ?? "iPhone")
Device connected: \(dev.name ?? "iPhone") (\(dev.product ?? ""), iOS \(dev.version ?? ""))	设备已连接：\(dev.name ?? "iPhone")（\(dev.product ?? "")，iOS \(dev.version ?? "")）
Device tools are missing from this build.	此版本缺少设备连接组件。
Bundled device_helper not found — detection cannot run.	找不到内置的 device_helper，无法识别设备。
No iPhone found. Please connect via USB.	未找到 iPhone，请用 USB 连接并解锁。
Device detection failed: \(error.localizedDescription)	设备识别失败：\(error.localizedDescription)
  ⚡ Auto-configured passcode target: \(self.targetTelephonyVersion), language: \(self.passcodeLanguageTarget.rawValue), font: \(self.passcodeBoldTarget.rawValue)	  ⚡ 已根据设备设置密码键盘目标：\(self.targetTelephonyVersion)；语言：\(self.passcodeLanguageTarget.rawValue)；字重：\(self.passcodeBoldTarget.rawValue)
Bundled device_helper not found — cannot scan.	找不到内置的 device_helper，无法扫描卡片。
No iPhone connected.	未连接 iPhone。
Double-click Side button, pass Face ID, then tap your card...	请双击侧边按钮，通过面容 ID 验证，再点选卡片…
Started scanning device logs for cards...	已开始从设备日志识别卡片…
Could not start card scanning.	无法开始识别卡片。
