📡 CARD SCANNING MODE	📡 卡片识别
To detect your cards:	按以下步骤识别卡片：
  👉 1) Double-click Side (Power) button to open Apple Pay.	  👉 1）双击侧边按钮，打开 Apple Pay。
  👉 2) Authenticate with Face ID.	  👉 2）通过面容 ID 验证。
  👉 3) Tap your card to trigger instant detection!	  👉 3）点选卡片，程序会立即识别。
Press ENTER when finished.	完成后按回车键。
\u274c Bundled device_helper is missing \u2014 cannot read the device log.	\u274c 缺少内置的 device_helper，无法读取设备日志。
  ✨ Detected card [{len(found_hashes)}]: {h}	  ✨ 已识别第 {len(found_hashes)} 张卡片：{h}
🎴 AirCard — Apple Wallet Card Skinner (via airlift)	🎴 AirCard — 钱包卡面工具（基于 airlift）
\n[1/5] Searching for connected device...	\n[1/5] 正在查找已连接的设备…
❌ iPhone not found! Connect your iPhone via USB and unlock the screen.	❌ 未找到 iPhone！请用 USB 连接并解锁手机。
✅ Found: {device['name']} ({device['product']}, iOS {device['version']})	✅ 已连接：{device['name']}（{device['product']}，iOS {device['version']}）
\n[2/5] Saved cards: {len(saved_cards)}	\n[2/5] 已保存的卡片：{len(saved_cards)} 张
\nChoose an action:	\n请选择操作：
  1 - Use existing cards	  1 - 使用已保存的卡片
  2 - Scan cards (open Wallet & tap card)	  2 - 识别卡片（打开钱包并点选卡片）
  3 - Enter card hash(es) manually	  3 - 手动输入卡片标识
❌ No cards available to flash.	❌ 没有可写入的卡片。
\n[3/5] Ready to flash cards ({len(hashes)}):	\n[3/5] 待写入卡片（{len(hashes)} 张）：
\nSelect cards to customize:	\n请选择要更换卡面的卡片：
  'all' - apply to all cards	  输入 all - 应用于全部卡片
  comma-separated numbers (e.g. 1,3)	  输入逗号分隔的序号（如 1,3）
Invalid input. Applying to all cards.	输入无效，改为应用于全部卡片。
❌ No cards selected.	❌ 尚未选择卡片。
\n[4/5] Preparing image...	\n[4/5] 正在处理图片…
✅ Image optimized for Apple Wallet ({len(png_bytes)} bytes)	✅ 图片已调整为钱包卡面尺寸（{len(png_bytes)} 字节）
❌ Error: {e}. Please specify another image.	❌ 图片处理失败：{e}。请选择其他图片。
\n[5/5] Flashing skin to selected cards ({len(selected_hashes)})...	\n[5/5] 正在向 {len(selected_hashes)} 张选中卡片写入新卡面…
\n--- [{idx}/{len(selected_hashes)}] Card: {h} ---	\n--- [{idx}/{len(selected_hashes)}] 卡片：{h} ---
  -> {asset}: {status}	  -> {asset}：{status}
  -> System cache cleared (.cache & .pkcache)	  -> 系统缓存已清除（.cache 和 .pkcache）
🎉 DONE! All selected cards successfully updated!	🎉 完成！所有选中卡片均已更新。
1. Force close Apple Wallet on your iPhone.	1. 在 iPhone 上强制关闭“钱包”。
2. If the image does not update immediately, restart your iPhone.	2. 如果图片未立即更新，请重启 iPhone。
AirCard scanner: 	AirCard 扫描器：
File not found: {path}	找不到文件：{path}
Failed to process image: {e}	图片处理失败：{e}
OK	成功
FAIL	失败
