Invalid format	卡片标识格式无效
File not found: {src}	找不到文件：{src}
Image file not found	找不到图片文件
Failed to prepare card artwork	卡面图片处理失败
Writing {len(asset_payloads)} artwork files (fast batch)...	正在批量写入 {len(asset_payloads)} 个卡面文件…
Invalidating cache ({ext})...	正在刷新卡片缓存（{ext}）…
Could not clear Wallet cache ({ext}); card was not reported as updated.	无法清除钱包缓存（{ext}）；这张卡片未计为更新成功。
Failed to update {card_hash[:12]}...	卡片 {card_hash[:12]}… 更新失败
Successfully updated {card_hash[:12]}...	卡片 {card_hash[:12]}… 更新成功
Passcode theme file not found: {passthm_path}	找不到密码键盘主题文件：{passthm_path}
File not found: {passthm_path}	找不到文件：{passthm_path}
No image assets found in archive	主题包中没有可用的图片素材
Passcode theme file not found	找不到密码键盘主题文件
Flashing passcode theme '{path.stem}' ({total_steps} assets)...	正在写入密码键盘主题“{path.stem}”（{total_steps} 个素材）…
Writing {leaf} ({curr}/{total_steps})...	正在写入 {leaf}（{curr}/{total_steps}）…
Flashing {len(dir_files)} asset(s) into {tdir_name}...	正在向 {tdir_name} 写入 {len(dir_files)} 个素材…
Batch write notice for {tdir_name}, falling back to file-by-file write...	{tdir_name} 批量写入未完成，改为逐个文件写入…
[Fallback] Writing {leaf} ({curr}/{total_steps})...	[逐个写入] 正在写入 {leaf}（{curr}/{total_steps}）…
Could not write {len(failed_leaves)} file(s) in {tdir_name}: {', '.join(failed_leaves[:5])}	{tdir_name} 中有 {len(failed_leaves)} 个文件写入失败：{', '.join(failed_leaves[:5])}
Passcode theme '{path.stem}' successfully applied! Lock your iPhone to check.	密码键盘主题“{path.stem}”已应用！请锁定 iPhone 查看效果。
No command provided	未提供命令
Unknown command: {cmd}	未知命令：{cmd}
